Type,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Total infrastructure,"90,142","109,779","131,329","144,633","144,785","149,745","160,911","177,108","182,231","190,346","201,237","211,101","212,731","216,942","228,273","234,757","251,593","269,327","289,194","310,513","323,899","340,037","325,030","316,019","312,608","313,489","315,678","303,183","290,371","292,670","283,448","303,911","315,395","315,506","299,746","286,451","278,986","312,098","342,309","345,411","357,083","353,550","357,877","379,752","383,149","390,669","397,439","389,381","402,952","415,412","432,285","462,642","495,197","544,321","565,316","560,877","563,694","552,373","556,052","587,420","634,861","645,629","626,871","623,514","615,568","638,610","648,619","681,922","711,748","755,001","799,204"
Total basic infrastructure,"73,279","83,218","95,760","103,642","102,264","107,278","117,635","125,306","126,923","133,562","141,618","148,972","154,093","154,546","161,220","164,971","175,211","185,451","197,662","206,965","215,040","230,113","216,293","209,992","206,188","207,529","206,766","197,177","191,833","195,339","192,340","209,628","218,912","214,810","199,443","180,239","173,969","201,463","229,132","225,490","231,001","221,944","223,022","237,049","237,375","238,390","244,171","235,775","238,871","238,910","236,444","251,864","259,734","283,590","296,738","297,026","299,118","279,488","271,596","281,429","303,659","308,703","312,642","298,430","288,667","300,394","290,995","311,020","310,729","312,660","306,038"
Total social infrastructure,"12,049","20,287","30,922","37,087","38,568","37,809","38,341","46,720","49,631","48,918","51,995","55,620","51,908","54,635","59,869","62,076","68,026","74,511","81,165","92,540","98,013","98,777","95,219","89,916","90,246","89,153","89,882","87,970","82,847","81,441","73,179","74,004","74,399","78,047","76,974","82,651","83,092","87,281","89,430","93,626","99,086","103,316","108,087","115,808","120,673","125,715","124,761","122,663","130,903","139,991","154,986","164,226","169,000","178,822","188,160","197,699","204,525","206,785","212,727","221,184","232,880","238,499","223,398","213,253","210,693","213,631","213,385","210,088","219,922","231,330","247,348"
Total digital infrastructure,"4,815","6,273","4,647","3,904","3,952","4,658","4,935","5,082","5,677","7,866","7,624","6,509","6,731","7,762","7,184","7,711","8,356","9,365","10,367","11,008","10,846","11,147","13,519","16,111","16,173","16,807","19,030","18,036","15,691","15,890","17,928","20,279","22,084","22,650","23,329","23,561","21,925","23,354","23,747","26,295","26,995","28,290","26,768","26,895","25,100","26,564","28,507","30,943","33,178","36,511","40,855","46,552","66,463","81,909","80,418","66,152","60,051","66,100","71,730","84,807","98,321","98,427","90,831","111,831","116,208","124,585","144,240","160,814","181,097","211,011","245,817"
Total infrastructure,"90,142","109,779","131,329","144,633","144,785","149,745","160,911","177,108","182,231","190,346","201,237","211,101","212,731","216,942","228,273","234,757","251,593","269,327","289,194","310,513","323,899","340,037","325,030","316,019","312,608","313,489","315,678","303,183","290,371","292,670","283,448","303,911","315,395","315,506","299,746","286,451","278,986","312,098","342,309","345,411","357,083","353,550","357,877","379,752","383,149","390,669","397,439","389,381","402,952","415,412","432,285","462,642","495,197","544,321","565,316","560,877","563,694","552,373","556,052","587,420","634,861","645,629","626,871","623,514","615,568","638,610","648,619","681,922","711,748","755,001","799,204"
Private,"50,831","57,295","61,234","64,418","65,184","68,257","72,384","69,891","66,281","72,252","76,313","73,615","70,465","72,997","71,973","75,181","76,553","84,415","92,256","100,723","108,789","117,967","121,507","125,205","127,144","133,653","138,745","129,494","121,840","125,889","125,046","127,281","130,908","133,532","137,287","139,077","133,053","147,515","162,933","157,563","165,269","154,300","156,311","164,779","160,934","164,657","173,375","162,581","173,518","180,258","189,133","211,110","230,423","268,055","271,370","259,049","258,642","252,392","268,116","297,364","351,304","364,852","347,122","351,096","356,645","397,104","416,992","448,884","468,155","505,708","553,909"
Federal,"6,022","8,373","11,082","11,561","10,691","10,514","9,801","8,749","7,432","7,892","8,788","9,621","11,033","12,130","13,726","14,645","15,151","15,566","16,380","16,776","13,871","12,933","11,049","11,531","12,582","12,711","13,137","13,296","14,277","14,559","15,598","18,119","17,130","16,796","16,418","14,089","13,420","13,397","12,744","12,110","13,089","11,640","11,222","11,556","12,364","14,496","15,073","14,237","13,861","12,756","10,936","10,018","9,620","9,254","9,137","10,581","9,916","9,133","7,246","7,194","7,269","7,165","8,917","11,115","11,862","9,659","8,596","8,598","9,334","8,997","8,209"
S&L,"33,289","44,110","59,013","68,654","68,909","70,974","78,726","98,468","108,518","110,202","116,136","127,866","131,233","131,816","142,574","144,931","159,889","169,346","180,558","193,014","201,239","209,137","192,474","179,283","172,882","167,125","163,796","160,393","154,254","152,221","142,804","158,511","167,357","165,179","146,041","133,285","132,513","151,186","166,631","175,738","178,725","187,610","190,344","203,416","209,850","211,516","208,991","212,563","215,572","222,398","232,216","241,514","255,154","267,013","284,810","291,247","295,136","290,847","280,690","282,861","276,287","273,612","270,831","261,303","247,060","231,847","223,032","224,440","234,259","240,296","237,086"
Total basic infrastructure,"73,279","83,218","95,760","103,642","102,264","107,278","117,635","125,306","126,923","133,562","141,618","148,972","154,093","154,546","161,220","164,971","175,211","185,451","197,662","206,965","215,040","230,113","216,293","209,992","206,188","207,529","206,766","197,177","191,833","195,339","192,340","209,628","218,912","214,810","199,443","180,239","173,969","201,463","229,132","225,490","231,001","221,944","223,022","237,049","237,375","238,390","244,171","235,775","238,871","238,910","236,444","251,864","259,734","283,590","296,738","297,026","299,118","279,488","271,596","281,429","303,659","308,703","312,642","298,430","288,667","300,394","290,995","311,020","310,729","312,660","306,038"
Private,"40,660","44,547","49,005","50,740","50,975","53,917","57,348","52,677","48,978","51,937","55,620","52,457","49,469","49,806","47,001","46,854","47,332","51,141","56,528","62,681","71,098","78,289","76,442","76,985","76,675","81,766","85,728","80,473","77,974","80,388","78,560","77,435","78,059","76,779","76,057","68,694","61,930","74,235","88,973","81,645","83,936","70,541","73,542","78,508","78,586","78,867","82,411","71,310","81,117","79,584","74,494","85,596","85,116","101,277","103,821","98,729","98,753","83,380","86,217","97,289","126,058","134,904","132,460","119,891","119,175","141,552","137,741","154,631","147,589","148,766","148,064"
Federal,"4,006","5,496","6,168","6,729","7,712","7,944","7,753","6,825","5,796","6,186","6,982","7,969","8,400","9,105","10,262","10,971","11,137","11,598","12,065","12,419","10,119","9,157","7,789","7,858","8,620","8,770","9,017","8,777","8,917","9,103","9,506","11,092","10,620","10,177","9,842","8,331","8,097","6,910","7,969","6,441","7,153","7,443","7,177","6,441","6,909","7,964","7,865","7,667","7,454","6,072","5,013","4,882","5,176","5,289","5,722","6,529","6,954","6,682","5,736","5,827","5,355","5,341","6,287","8,084","7,968","6,016","5,289","5,738","6,715","6,469","5,667"
S&L ,"28,612","33,176","40,587","46,173","43,577","45,417","52,534","65,804","72,148","75,440","79,016","88,546","96,224","95,635","103,958","107,146","116,742","122,712","129,069","131,865","133,823","142,668","132,062","125,149","120,893","116,993","112,021","107,928","104,942","105,848","104,275","121,102","130,233","127,853","113,543","103,214","103,942","120,318","132,190","137,404","139,912","143,960","142,303","152,100","151,880","151,559","153,894","156,797","150,300","153,253","156,937","161,387","169,442","177,025","187,195","191,768","193,411","189,425","179,643","178,313","172,246","168,458","173,895","170,455","161,524","152,826","147,964","150,652","156,425","157,425","152,307"
Total basic infrastructure,"73,279","83,218","95,760","103,642","102,264","107,278","117,635","125,306","126,923","133,562","141,618","148,972","154,093","154,546","161,220","164,971","175,211","185,451","197,662","206,965","215,040","230,113","216,293","209,992","206,188","207,529","206,766","197,177","191,833","195,339","192,340","209,628","218,912","214,810","199,443","180,239","173,969","201,463","229,132","225,490","231,001","221,944","223,022","237,049","237,375","238,390","244,171","235,775","238,871","238,910","236,444","251,864","259,734","283,590","296,738","297,026","299,118","279,488","271,596","281,429","303,659","308,703","312,642","298,430","288,667","300,394","290,995","311,020","310,729","312,660","306,038"
Water,"2,778","3,409","3,784","3,877","4,371","4,343","4,321","4,806","5,385","5,967","5,677","5,433","5,699","6,156","6,590","6,779","8,627","9,443","12,078","10,193","11,733","13,435","11,731","9,556","8,224","8,129","7,578","8,231","9,495","8,851","7,867","9,372","9,898","10,938","9,959","10,158","9,090","10,939","13,049","13,953","15,600","14,622","15,003","16,613","17,053","15,956","13,894","13,481","13,289","14,593","15,703","16,586","16,613","17,159","17,114","17,992","18,667","18,439","17,191","17,686","17,717","17,320","17,484","17,081","15,704","14,721","15,218","14,870","14,735","14,000","14,065"
Sewer,"3,290","4,539","5,207","5,470","5,524","5,502","6,330","6,765","7,149","7,470","7,953","8,243","10,422","10,240","10,464","11,858","10,363","14,056","12,745","13,465","10,838","14,917","12,677","13,689","14,435","14,015","15,584","18,557","17,647","18,690","16,820","19,492","19,455","20,619","17,394","16,229","14,560","16,935","17,953","18,814","21,885","21,580","21,297","22,598","22,822","23,975","21,478","18,682","18,700","19,532","18,802","17,163","17,434","16,606","16,902","17,933","19,549","20,107","19,048","19,909","20,934","21,991","22,973","23,174","21,740","18,860","17,338","16,724","17,231","17,004","15,981"
Conservation and development,"3,591","4,777","4,901","5,394","6,656","6,824","6,766","6,064","5,722","6,408","7,070","7,553","7,923","8,720","9,594","10,500","11,666","11,922","13,563","14,067","13,497","12,670","11,482","11,446","11,117","10,597","10,167","10,719","10,458","10,375","10,387","11,855","12,036","11,919","11,477","10,505","10,611","10,374","11,797","10,467","11,196","10,413","10,893","10,503","10,067","11,319","10,949","10,694","10,854","8,832","7,516","7,466","7,827","8,755","8,399","7,941","8,610","8,465","8,157","9,283","9,452","8,362","8,414","9,822","9,608","7,973","6,727","7,220","8,435","8,210","7,803"
Power,"31,410","35,520","40,862","43,288","43,100","44,484","48,349","46,043","42,706","46,756","50,500","49,704","48,094","48,187","47,725","45,649","46,474","51,757","56,587","59,672","69,981","76,521","73,775","74,334","73,915","79,419","83,488","78,962","75,601","78,590","77,387","78,363","78,021","77,397","78,966","70,446","62,396","70,510","84,771","80,331","79,827","67,323","67,306","71,266","72,017","69,624","74,201","63,077","71,629","69,940","66,047","76,850","78,293","93,785","99,331","97,068","98,464","81,774","84,795","94,139","123,013","133,451","134,190","119,486","119,047","139,865","136,017","151,794","143,452","145,397","141,927"
Transportation,"32,210","34,972","41,008","45,614","42,614","46,124","51,870","61,628","65,961","66,961","70,418","78,039","81,955","81,243","86,847","90,185","98,080","98,274","102,689","109,568","108,992","112,570","106,628","100,968","98,498","95,370","89,949","80,709","78,632","78,833","79,880","90,546","99,502","93,936","81,646","72,901","77,313","92,705","101,561","101,925","102,494","108,006","108,523","116,070","115,417","117,516","123,649","129,841","124,399","126,013","128,376","133,800","139,567","147,285","154,992","156,091","153,829","150,704","142,405","140,412","132,543","127,578","129,582","128,866","122,569","118,975","115,695","120,412","126,877","128,049","126,262"
Water supply,"2,778","3,409","3,784","3,877","4,371","4,343","4,321","4,806","5,385","5,967","5,677","5,433","5,699","6,156","6,590","6,779","8,627","9,443","12,078","10,193","11,733","13,435","11,731","9,556","8,224","8,129","7,578","8,231","9,495","8,851","7,867","9,372","9,898","10,938","9,959","10,158","9,090","10,939","13,049","13,953","15,600","14,622","15,003","16,613","17,053","15,956","13,894","13,481","13,289","14,593","15,703","16,586","16,613","17,159","17,114","17,992","18,667","18,439","17,191","17,686","17,717","17,320","17,484","17,081","15,704","14,721","15,218","14,870","14,735","14,000","14,065"
Private,197,165,201,310,155,197,280,292,381,285,421,406,445,611,543,588,645,691,830,929,841,989,"1,198","1,403","1,373","1,229","1,172","1,117","1,088","1,112","1,267","1,451","1,707","1,545","1,549","1,598","1,837","2,410","3,393","2,753","3,064","2,430","2,747","3,180","3,086","3,698","3,364","2,883","3,265","2,596","2,149","2,075","1,522","2,525","1,921","1,328","1,292","1,256",927,"1,260","1,281","1,023",635,"1,241",944,467,729,688,632,238,209
S&L,"2,581","3,244","3,583","3,567","4,216","4,146","4,041","4,514","5,004","5,682","5,256","5,027","5,254","5,545","6,047","6,191","7,982","8,752","11,248","9,264","10,892","12,446","10,533","8,153","6,851","6,900","6,406","7,114","8,407","7,739","6,600","7,921","8,191","9,393","8,410","8,560","7,253","8,529","9,656","11,200","12,536","12,192","12,256","13,433","13,967","12,258","10,530","10,598","10,024","11,997","13,554","14,511","15,091","14,634","15,193","16,664","17,375","17,183","16,264","16,426","16,436","16,297","16,849","15,840","14,760","14,254","14,489","14,182","14,103","13,762","13,856"
Sewer and waste,"3,290","4,539","5,207","5,470","5,524","5,502","6,330","6,765","7,149","7,470","7,953","8,243","10,422","10,240","10,464","11,858","10,363","14,056","12,745","13,465","10,838","14,917","12,677","13,689","14,435","14,015","15,584","18,557","17,647","18,690","16,820","19,492","19,455","20,619","17,394","16,229","14,560","16,935","17,953","18,814","21,885","21,580","21,297","22,598","22,822","23,975","21,478","18,682","18,700","19,532","18,802","17,163","17,434","16,606","16,902","17,933","19,549","20,107","19,048","19,909","20,934","21,991","22,973","23,174","21,740","18,860","17,338","16,724","17,231","17,004","15,981"
Private,202,170,206,319,160,203,287,300,391,292,432,417,457,628,558,604,662,709,852,954,863,"1,016","1,229","1,440","1,410","1,261","1,203","1,146","1,117","1,141","1,301","1,490","1,752","1,586","1,590","1,640","1,886","2,475","3,483","2,826","3,146","2,495","2,820","3,264","3,168","3,796","3,454","2,960","3,353","2,665","2,207","1,272","1,868","1,769","1,348",809,897,"1,009",672,792,993,"1,425",913,754,752,715,420,276,414,410,243
S&L,"3,088","4,369","5,001","5,151","5,364","5,299","6,043","6,465","6,758","7,178","7,521","7,826","9,965","9,612","9,906","11,254","9,701","13,347","11,893","12,511","9,975","13,901","11,448","12,249","13,025","12,754","14,381","17,411","16,530","17,549","15,519","18,002","17,703","19,033","15,804","14,589","12,674","14,460","14,470","15,988","18,739","19,085","18,477","19,334","19,654","20,179","18,024","15,722","15,347","16,867","16,595","15,891","15,566","14,837","15,554","17,124","18,652","19,098","18,376","19,117","19,941","20,566","22,060","22,420","20,988","18,145","16,918","16,448","16,817","16,594","15,738"
Conservation and development,"3,591","4,777","4,901","5,394","6,656","6,824","6,766","6,064","5,722","6,408","7,070","7,553","7,923","8,720","9,594","10,500","11,666","11,922","13,563","14,067","13,497","12,670","11,482","11,446","11,117","10,597","10,167","10,719","10,458","10,375","10,387","11,855","12,036","11,919","11,477","10,505","10,611","10,374","11,797","10,467","11,196","10,413","10,893","10,503","10,067","11,319","10,949","10,694","10,854","8,832","7,516","7,466","7,827","8,755","8,399","7,941","8,610","8,465","8,157","9,283","9,452","8,362","8,414","9,822","9,608","7,973","6,727","7,220","8,435","8,210","7,803"
Private,127,107,129,200,100,127,180,188,245,184,271,262,287,394,350,379,416,446,535,599,542,638,772,905,886,792,756,720,702,717,817,936,"1,101",997,999,"1,030","1,185","1,555","2,188","1,776","1,976","1,567","1,772","2,051","1,990","2,385","2,170","1,860","2,106","1,674","1,386","1,297",853,"1,219",938,807,"1,349","1,569","1,367","1,739","1,353",569,280,247,174,289,139,309,446,252,252
S&L,390,474,662,726,651,485,626,709,"1,062","1,470","1,405","1,235","1,400","1,607","1,718","2,083","3,238","3,222","4,480","4,476","5,110","4,764","4,384","3,752","2,891","2,446","1,998","2,479","2,044","2,041","1,652","1,541","1,977","2,045","1,749","1,927","2,232","2,592","2,799","3,084","3,090","2,755","3,155","3,371","2,918","2,655","2,558","2,912","3,124","3,151","3,168","3,197","3,640","4,286","3,912","3,313","3,367","3,525","3,328","3,659","4,476","4,329","3,866","3,786","3,834","3,564","3,147","2,866","3,553","3,634","3,598"
Federal,"3,074","4,196","4,109","4,468","5,905","6,212","5,959","5,168","4,414","4,754","5,394","6,056","6,236","6,718","7,526","8,038","8,013","8,254","8,548","8,992","7,845","7,269","6,326","6,789","7,340","7,359","7,413","7,521","7,712","7,617","7,918","9,378","8,958","8,877","8,729","7,548","7,194","6,227","6,810","5,607","6,130","6,091","5,966","5,081","5,159","6,279","6,221","5,921","5,624","4,007","2,962","2,972","3,334","3,250","3,548","3,821","3,894","3,371","3,462","3,884","3,623","3,465","4,268","5,789","5,599","4,120","3,441","4,045","4,436","4,324","3,953"
Power,"31,410","35,520","40,862","43,288","43,100","44,484","48,349","46,043","42,706","46,756","50,500","49,704","48,094","48,187","47,725","45,649","46,474","51,757","56,587","59,672","69,981","76,521","73,775","74,334","73,915","79,419","83,488","78,962","75,601","78,590","77,387","78,363","78,021","77,397","78,966","70,446","62,396","70,510","84,771","80,331","79,827","67,323","67,306","71,266","72,017","69,624","74,201","63,077","71,629","69,940","66,047","76,850","78,293","93,785","99,331","97,068","98,464","81,774","84,795","94,139","123,013","133,451","134,190","119,486","119,047","139,865","136,017","151,794","143,452","145,397","141,927"
S&L,"1,714","1,751","1,801","1,814","1,701","1,465","1,712","2,109","2,409","3,251","3,229","3,809","4,819","5,188","6,603","4,880","5,743","7,550","8,060","6,118","7,402","7,391","7,279","6,945","6,902","7,205","7,407","7,957","6,112","8,062","9,577","13,512","13,194","12,798","14,783","13,176","12,137","10,571","13,813","12,820","9,980","9,073","7,022","6,935","6,834","6,472","6,827","5,756","5,646","4,935","5,842","5,646","6,002","6,859","8,333","9,105","9,660","8,823","8,573","9,173","9,607","10,960","11,811","10,909","9,930","9,387","9,198","8,911","8,521","8,203","6,822"
